"Dist Code","Year","State Code","State Name","Dist Name","WHEAT YIELD (Kg per ha)"
"7","2008","6","Madhya Pradesh","Jabalpur","1858.0"
"8","2008","6","Madhya Pradesh","Balaghat","815.0"
"9","2008","6","Madhya Pradesh","Chhindwara","2116.0"
"10","2008","6","Madhya Pradesh","Narsinghpur","3045.0"
"11","2008","6","Madhya Pradesh","Seoni","874.0"
"12","2008","6","Madhya Pradesh","Mandla","905.0"
"13","2008","6","Madhya Pradesh","Sagar","1254.0"
"14","2008","6","Madhya Pradesh","Damoh","1967.0"
"15","2008","6","Madhya Pradesh","Tikamgarh","1948.0"
"16","2008","6","Madhya Pradesh","Chhatarpur","1528.0"
"17","2008","6","Madhya Pradesh","Panna","1455.0"
"18","2008","6","Madhya Pradesh","Rewa","1062.0"
"19","2008","6","Madhya Pradesh","Sidhi","870.0"
"20","2008","6","Madhya Pradesh","Satna","1072.0"
"21","2008","6","Madhya Pradesh","Shahdol","900.0"
"22","2008","6","Madhya Pradesh","Gwalior","2566.0"
"23","2008","6","Madhya Pradesh","Shivpuri","1951.0"
"24","2008","6","Madhya Pradesh","Guna","1697.0"
"25","2008","6","Madhya Pradesh","Datia","1951.0"
"26","2008","6","Madhya Pradesh","Morena","2299.0"
"27","2008","6","Madhya Pradesh","Bhind","2115.0"
"28","2008","6","Madhya Pradesh","Indore","2321.0"
"29","2008","6","Madhya Pradesh","Ratlam","3108.0"
"30","2008","6","Madhya Pradesh","Ujjain","1865.0"
"31","2008","6","Madhya Pradesh","Mandsaur","2532.0"
"32","2008","6","Madhya Pradesh","Dewas","2083.0"
"33","2008","6","Madhya Pradesh","Dhar","2116.0"
"34","2008","6","Madhya Pradesh","Jhabua","1787.0"
"35","2008","6","Madhya Pradesh","Khargone","2323.0"
"36","2008","6","Madhya Pradesh","Khandwa","1770.0"
"37","2008","6","Madhya Pradesh","Sehore","1482.0"
"38","2008","6","Madhya Pradesh","Raisen","1585.0"
"39","2008","6","Madhya Pradesh","Vidisha","1503.0"
"40","2008","6","Madhya Pradesh","Betul","1594.0"
"41","2008","6","Madhya Pradesh","Rajgarh","1529.0"
"42","2008","6","Madhya Pradesh","Shajapur","2042.0"
"43","2008","6","Madhya Pradesh","Hoshangabad","2774.0"
"502","2008","6","Madhya Pradesh","Bhopal","1880.0"
"1057","2008","6","Madhya Pradesh","Dindori","634.0"
"1058","2008","6","Madhya Pradesh","Harda","3159.0"
"1060","2008","6","Madhya Pradesh","Barwani","2455.0"
"1061","2008","6","Madhya Pradesh","Katni","1136.0"
"1062","2008","6","Madhya Pradesh","Neemuch","2326.0"
"1063","2008","6","Madhya Pradesh","Sheopur Kalan","2346.0"
"1064","2008","6","Madhya Pradesh","Umaria","876.0"
"1071","2008","6","Madhya Pradesh","Anuppur","734.0"
"1081","2008","6","Madhya Pradesh","Ashoknagar","1406.0"
"1082","2008","6","Madhya Pradesh","Burhanpur","1906.0"
"2006","2008","6","Madhya Pradesh","Alirajpur","1807.0"
"2007","2008","6","Madhya Pradesh","Singrauli","898.0"
