"Dist Code","Year","State Code","State Name","Dist Name","WHEAT AREA (1000 ha)"
"10","2001","6","Madhya Pradesh","Narsinghpur","67.7"
"10","2002","6","Madhya Pradesh","Narsinghpur","62.5"
"10","2005","6","Madhya Pradesh","Narsinghpur","54.52"
"10","2008","6","Madhya Pradesh","Narsinghpur","62.3"
"10","2010","6","Madhya Pradesh","Narsinghpur","68.8"
"24","2001","6","Madhya Pradesh","Guna","188.8"
"24","2002","6","Madhya Pradesh","Guna","152.9"
"24","2005","6","Madhya Pradesh","Guna","73.21"
"24","2008","6","Madhya Pradesh","Guna","84.5"
"24","2010","6","Madhya Pradesh","Guna","88.9"
"33","2001","6","Madhya Pradesh","Dhar","118.0"
"33","2002","6","Madhya Pradesh","Dhar","81.9"
"33","2005","6","Madhya Pradesh","Dhar","93.17"
"33","2008","6","Madhya Pradesh","Dhar","141.2"
"33","2010","6","Madhya Pradesh","Dhar","193.0"
"43","2001","6","Madhya Pradesh","Hoshangabad","165.9"
"43","2002","6","Madhya Pradesh","Hoshangabad","166.9"
"43","2005","6","Madhya Pradesh","Hoshangabad","202.63"
"43","2008","6","Madhya Pradesh","Hoshangabad","219.0"
"43","2010","6","Madhya Pradesh","Hoshangabad","242.3"
"502","2001","6","Madhya Pradesh","Bhopal","64.5"
"502","2002","6","Madhya Pradesh","Bhopal","58.1"
"502","2005","6","Madhya Pradesh","Bhopal","69.46"
"502","2008","6","Madhya Pradesh","Bhopal","67.4"
"502","2010","6","Madhya Pradesh","Bhopal","75.3"
