"Dist Code","Year","State Code","State Name","Dist Name","WHEAT IRRIGATED AREA (1000 ha)"
"7","2015","6","Madhya Pradesh","Jabalpur","134.57"
"8","2015","6","Madhya Pradesh","Balaghat","8.48"
"9","2015","6","Madhya Pradesh","Chhindwara","138.73"
"10","2015","6","Madhya Pradesh","Narsinghpur","104.43"
"11","2015","6","Madhya Pradesh","Seoni","118.6"
"12","2015","6","Madhya Pradesh","Mandla","24.75"
"13","2015","6","Madhya Pradesh","Sagar","211.96"
"14","2015","6","Madhya Pradesh","Damoh","43.28"
"15","2015","6","Madhya Pradesh","Tikamgarh","80.94"
"16","2015","6","Madhya Pradesh","Chhatarpur","113.6"
"17","2015","6","Madhya Pradesh","Panna","48.99"
"18","2015","6","Madhya Pradesh","Rewa","107.01"
"19","2015","6","Madhya Pradesh","Sidhi","41.96"
"20","2015","6","Madhya Pradesh","Satna","120.56"
"21","2015","6","Madhya Pradesh","Shahdol","22.19"
"22","2015","6","Madhya Pradesh","Gwalior","112.99"
"23","2015","6","Madhya Pradesh","Shivpuri","163.3"
"24","2015","6","Madhya Pradesh","Guna","135.93"
"25","2015","6","Madhya Pradesh","Datia","146.9"
"26","2015","6","Madhya Pradesh","Morena","123.45"
"27","2015","6","Madhya Pradesh","Bhind","124.92"
"28","2015","6","Madhya Pradesh","Indore","118.91"
"29","2015","6","Madhya Pradesh","Ratlam","107.24"
"30","2015","6","Madhya Pradesh","Ujjain","249.88"
"31","2015","6","Madhya Pradesh","Mandsaur","87.81"
"32","2015","6","Madhya Pradesh","Dewas","165.88"
"33","2015","6","Madhya Pradesh","Dhar","227.48"
"34","2015","6","Madhya Pradesh","Jhabua","35.24"
"35","2015","6","Madhya Pradesh","Khargone","145.75"
"36","2015","6","Madhya Pradesh","Khandwa","116.31"
"37","2015","6","Madhya Pradesh","Sehore","243.76"
"38","2015","6","Madhya Pradesh","Raisen","234.9"
"39","2015","6","Madhya Pradesh","Vidisha","278.68"
"40","2015","6","Madhya Pradesh","Betul","140.55"
"41","2015","6","Madhya Pradesh","Rajgarh","207.75"
"42","2015","6","Madhya Pradesh","Shajapur","129.46"
"43","2015","6","Madhya Pradesh","Hoshangabad","285.08"
"502","2015","6","Madhya Pradesh","Bhopal","86.68"
"1057","2015","6","Madhya Pradesh","Dindori","2.78"
"1058","2015","6","Madhya Pradesh","Harda","153.81"
"1060","2015","6","Madhya Pradesh","Barwani","46.92"
"1061","2015","6","Madhya Pradesh","Katni","91.93"
"1062","2015","6","Madhya Pradesh","Neemuch","40.86"
"1063","2015","6","Madhya Pradesh","Sheopur Kalan","84.44"
"1064","2015","6","Madhya Pradesh","Umaria","25.11"
"1071","2015","6","Madhya Pradesh","Anuppur","2.75"
"1081","2015","6","Madhya Pradesh","Ashoknagar","116.28"
"1082","2015","6","Madhya Pradesh","Burhanpur","9.24"
"2006","2015","6","Madhya Pradesh","Alirajpur","18.95"
"2007","2015","6","Madhya Pradesh","Singrauli","25.24"
"2058","2015","6","Madhya Pradesh","Agar Malwa","39.53"
