"Dist Code","Year","State Code","State Name","Dist Name","WHEAT AREA (1000 ha)"
"19","2001","6","Madhya Pradesh","Sidhi","89.0"
"19","2005","6","Madhya Pradesh","Sidhi","87.48"
"19","2002","6","Madhya Pradesh","Sidhi","87.4"
"14","2001","6","Madhya Pradesh","Damoh","79.8"
"14","2010","6","Madhya Pradesh","Damoh","71.8"
"14","2005","6","Madhya Pradesh","Damoh","68.96"
"14","2008","6","Madhya Pradesh","Damoh","67.0"
"14","2002","6","Madhya Pradesh","Damoh","57.9"
"19","2008","6","Madhya Pradesh","Sidhi","54.0"
"19","2010","6","Madhya Pradesh","Sidhi","53.8"
"2007","2008","6","Madhya Pradesh","Singrauli","32.2"
"2007","2010","6","Madhya Pradesh","Singrauli","30.8"
"12","2001","6","Madhya Pradesh","Mandla","30.7"
"12","2005","6","Madhya Pradesh","Mandla","29.95"
"12","2008","6","Madhya Pradesh","Mandla","29.4"
"12","2002","6","Madhya Pradesh","Mandla","29.2"
"12","2010","6","Madhya Pradesh","Mandla","17.5"
"8","2002","6","Madhya Pradesh","Balaghat","16.6"
"8","2005","6","Madhya Pradesh","Balaghat","16.58"
"8","2001","6","Madhya Pradesh","Balaghat","16.0"
"8","2008","6","Madhya Pradesh","Balaghat","15.1"
"8","2010","6","Madhya Pradesh","Balaghat","15.1"
