"Dist Code","Year","State Code","State Name","Dist Name","WHEAT IRRIGATED AREA (1000 ha)"
"8","2001","6","Madhya Pradesh","Balaghat","8.62"
"8","2002","6","Madhya Pradesh","Balaghat","8.88"
"8","2005","6","Madhya Pradesh","Balaghat","10.24"
"8","2008","6","Madhya Pradesh","Balaghat","9.36"
"8","2010","6","Madhya Pradesh","Balaghat","10.07"
"12","2001","6","Madhya Pradesh","Mandla","8.22"
"12","2002","6","Madhya Pradesh","Mandla","7.6"
"12","2005","6","Madhya Pradesh","Mandla","8.81"
"12","2008","6","Madhya Pradesh","Mandla","9.89"
"12","2010","6","Madhya Pradesh","Mandla","9.62"
"14","2001","6","Madhya Pradesh","Damoh","49.32"
"14","2002","6","Madhya Pradesh","Damoh","36.5"
"14","2005","6","Madhya Pradesh","Damoh","46.01"
"14","2008","6","Madhya Pradesh","Damoh","48.37"
"14","2010","6","Madhya Pradesh","Damoh","56.6"
"19","2001","6","Madhya Pradesh","Sidhi","54.43"
"19","2002","6","Madhya Pradesh","Sidhi","53.59"
"19","2005","6","Madhya Pradesh","Sidhi","56.31"
"19","2008","6","Madhya Pradesh","Sidhi","34.94"
"19","2010","6","Madhya Pradesh","Sidhi","34.54"
"2007","2008","6","Madhya Pradesh","Singrauli","23.08"
"2007","2010","6","Madhya Pradesh","Singrauli","22.21"
